Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
732000.0,2020,200000,Otomatik,Dizel,Beyaz
935000.0,2023,16000,Duz,Benzin,Mavi
759000.0,2023,35497,Duz,Benzin,Mavi (metalik)
575000.0,2020,144000,Duz,Dizel,Beyaz
710000.0,2020,139000,Duz,Dizel,Beyaz
890000.0,2023,22000,Duz,LPG & Benzin,Turuncu
1240000.0,2023,56390,Yari Otomatik,Dizel,Mavi
800000.0,2023,25000,Duz,Benzin,Gri (metalik)
698000.0,2022,32000,Duz,Benzin,Füme
595000.0,2016,131000,Duz,Dizel,Beyaz
745000.0,2023,22000,Duz,Benzin,Mavi
815000.0,2023,11000,Duz,Benzin,Beyaz
729000.0,2023,36500,Duz,Benzin,Beyaz
687000.0,2020,121955,Duz,Dizel,Kırmızı
695000.0,2023,46000,Duz,Benzin,Mavi (metalik)
652000.0,2018,316000,Yari Otomatik,Dizel,Lacivert
810000.0,2023,48000,Duz,Benzin,Beyaz
865000.0,2021,45800,Duz,Benzin,Yeşil (metalik)
845000.0,2023,16500,Duz,Benzin,Mavi (metalik)
725000.0,2016,138500,Duz,Dizel,Beyaz
580000.0,2016,194000,Duz,Dizel,Beyaz
885000.0,2021,57000,Duz,Dizel,Gri
749000.0,2024,10800,Duz,Dizel,Beyaz
565000.0,2019,99000,Duz,LPG & Benzin,Beyaz
860000.0,2022,35750,Duz,Dizel,Beyaz
800000.0,2023,21000,Duz,Benzin,Mavi
650000.0,2019,69000,Duz,Benzin,Beyaz
820000.0,2022,39000,Duz,Dizel,Beyaz
1200000.0,2022,25800,Yari Otomatik,Dizel,Gri
535000.0,2015,151000,Duz,Dizel,Beyaz
1085000.0,2023,52000,Yari Otomatik,Dizel,Beyaz
710000.0,2017,210000,Duz,Dizel,Beyaz
985000.0,2024,6001,Duz,Benzin,Mavi (metalik)
790000.0,2020,106000,Duz,Dizel,Beyaz
794750.0,2021,43000,Duz,Benzin,Beyaz
530000.0,2016,472000,Duz,Dizel,Beyaz
715000.0,2020,199000,Otomatik,Dizel,Beyaz
895000.0,2023,44800,Duz,Dizel,Beyaz
675000.0,2019,48000,Duz,Benzin,Gri
670000.0,2015,193000,Duz,Dizel,Beyaz
595000.0,2019,174500,Duz,Benzin,Beyaz
1075000.0,2022,29000,Duz,Benzin,Turuncu
735000.0,2023,64000,Duz,Benzin,Beyaz
1125000.0,2024,11623,Otomatik,Dizel,Beyaz
550000.0,2016,177500,Yari Otomatik,Dizel,Gri
655000.0,2018,39500,Duz,Benzin,Beyaz
1000000.0,2024,6001,Duz,Benzin,Gri
635750.0,2019,167000,Duz,LPG & Benzin,Kırmızı
820000.0,2022,23000,Duz,Benzin,Beyaz
870000.0,2020,104207,Yari Otomatik,Dizel,Siyah
749000.0,2022,33400,Duz,Benzin,Beyaz
937500.0,2022,39000,Otomatik,Dizel,Gri
735000.0,2020,92000,Duz,Dizel,Beyaz
