Fiyat,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Renk
240000,1996,300000,Duz,LPG & Benzin,Beyaz
1090000,2019,141000,Otomatik,LPG & Benzin,Beyaz
1825000,2022,71300,Otomatik,Hibrit,Beyaz
290000,1999,330000,Duz,LPG & Benzin,Beyaz
550000,2008,264000,Duz,Dizel,Gri
965000,2017,52000,Duz,Benzin,Beyaz
400000,2009,329000,Duz,Dizel,Gri (Gümüş)
1155000,2022,50000,Otomatik,Benzin,Mavi (metalik)
1130000,2016,90000,Yari Otomatik,Dizel,Beyaz
315000,2000,337700,Duz,LPG & Benzin,Gri
385000,2001,218000,Duz,LPG & Benzin,Gri (Gümüş)
740000,2012,160000,Duz,Dizel,Gri (Gümüş)
330000,1998,176000,Duz,LPG & Benzin,Beyaz
625000,2007,190000,Duz,LPG & Benzin,Gri (Gümüş)
890000,2015,155000,Otomatik,Benzin,Beyaz
750000,2014,174000,Duz,Benzin,Beyaz
825000,2017,105000,Duz,LPG & Benzin,Beyaz
385000,2002,268000,Duz,LPG & Benzin,Gri (Gümüş)
1225000,2022,37000,Otomatik,Benzin,Gri (Gümüş)
685000,2015,62000,Duz,Benzin,Beyaz
318000,1996,347000,Duz,LPG & Benzin,Beyaz
620000,2015,208000,Duz,Benzin,Kahverengi
210000,1993,360000,Duz,LPG & Benzin,Gri
1125000,2021,88500,Otomatik,Hibrit,Mavi (metalik)
310000,1997,290000,Duz,LPG & Benzin,Bordo
2074000,2024,20735,Otomatik,Hibrit,Gri (metalik)
880000,2016,119000,Duz,Dizel,Gri (titanyum)
535000,2004,280000,Duz,LPG & Benzin,Beyaz
375000,1996,273000,Duz,LPG & Benzin,Bordo
550000,2005,216000,Duz,LPG & Benzin,Gri (Gümüş)
1135000,2021,58500,Otomatik,Benzin,Beyaz
295000,1996,322000,Duz,LPG & Benzin,Lacivert
1050000,2019,100000,Otomatik,Hibrit,Mavi
1165000,2022,66400,Yari Otomatik,Benzin,Beyaz
1040000,2024,6000,Otomatik,Benzin,Beyaz
429999,2008,263000,Duz,Dizel,Beyaz
850000,2015,149000,Yari Otomatik,Dizel,Beyaz
365000,2008,321000,Duz,Dizel,Gri (Gümüş)
770000,2014,125000,Duz,Benzin,Beyaz
345000,1993,355000,Duz,LPG & Benzin,Yeşil (metalik)
385000,1999,195000,Duz,LPG & Benzin,Gri
330000,1996,580000,Duz,LPG & Benzin,Lacivert
380000,2007,360000,Yari Otomatik,Dizel,Gri
1070000,2016,114000,Yari Otomatik,Dizel,Siyah
765000,2016,224000,Yari Otomatik,Dizel,Beyaz
515000,2009,270000,Yari Otomatik,Dizel,Siyah
1075000,2020,73000,Otomatik,Hibrit,Mavi
450000,2012,408000,Duz,Dizel,Gri
1089950,2020,99000,Otomatik,Benzin,Beyaz
1039750,2021,105000,Otomatik,LPG & Benzin,Mavi
793000,2017,158000,Yari Otomatik,Dizel,Beyaz
1139000,2020,72000,Otomatik,LPG & Benzin,Beyaz
1288950,2020,60000,Otomatik,LPG & Benzin,Gri
565000,2009,220000,Duz,Dizel,Siyah
249500,1996,329000,Duz,LPG & Benzin,Gri (Gümüş)
1140000,2021,98000,Otomatik,LPG & Benzin,Mavi
420000,2006,333000,Yari Otomatik,Dizel,Kırmızı
229950,1998,44000,Duz,LPG & Benzin,Gri (Gümüş)
1100000,2020,77000,Otomatik,Benzin,Mavi
990000,2015,149000,Otomatik,LPG & Benzin,Beyaz
1149000,2021,60000,Otomatik,Benzin,Gri
265000,1993,327000,Duz,LPG & Benzin,Bordo
1175000,2020,71877,Otomatik,Benzin,Beyaz
1895000,2023,29000,Otomatik,LPG & Benzin,Beyaz
1500000,2023,13000,Otomatik,Benzin,Füme
1120000,2020,123452,Otomatik,LPG & Benzin,Beyaz
275000,1993,450000,Duz,LPG & Benzin,Bordo
1725000,2023,33200,Otomatik,Hibrit,Gri (Gümüş)
1420000,2023,27000,Otomatik,Benzin,Beyaz
1069950,2020,109000,Otomatik,Benzin,Mavi
1325000,2022,77000,Otomatik,Benzin,Gri
460000,2005,273000,Duz,LPG & Benzin,Gri
1210000,2021,31500,Otomatik,Benzin,Siyah
815000,2013,126000,Yari Otomatik,Dizel,Gri (metalik)
840000,2015,23000,Duz,Benzin,Beyaz
583500,2007,222000,Duz,LPG & Benzin,Diğer
1319000,2023,20300,Otomatik,Benzin,Beyaz
360000,1994,340000,Duz,LPG & Benzin,Yeşil
1762000,2022,62858,Otomatik,LPG & Benzin,Gri
1175000,2021,84918,Otomatik,Hibrit,Mavi
1269900,2020,69000,Otomatik,Benzin,Beyaz
1355000,2022,53430,Otomatik,LPG & Benzin,Gri
1420000,2019,23000,Otomatik,Benzin,Beyaz
1210000,2022,61000,Otomatik,LPG & Benzin,Beyaz
675000,2016,206000,Duz,Dizel,Beyaz
1359500,2022,86800,Otomatik,Hibrit,Mavi
1040000,2014,79000,Otomatik,LPG & Benzin,Kahverengi
725000,2011,175000,Duz,Benzin,Gri
1444000,2023,52000,Otomatik,LPG & Benzin,Gri
430000,2002,244000,Duz,LPG & Benzin,Gri
385000,2010,211000,Duz,Dizel,Beyaz
609000,2013,225000,Yari Otomatik,Dizel,Siyah
1030000,2021,104000,Otomatik,LPG & Benzin,Mavi
919950,2014,110000,Otomatik,LPG & Benzin,Beyaz
930000,2018,101000,Duz,LPG & Benzin,Beyaz
740000,2016,206000,Otomatik,Dizel,Beyaz
770000,2014,117000,Duz,LPG & Benzin,Beyaz
800000,2014,205000,Duz,Dizel,Kahverengi
685000,2008,176000,Yari Otomatik,LPG & Benzin,Gri (Gümüş)
1620000,2022,79888,Otomatik,LPG & Benzin,Beyaz
420000,2002,181000,Duz,Benzin,Kırmızı
1100000,2017,53500,Yari Otomatik,Dizel,Füme
1149650,2022,64000,Otomatik,LPG & Benzin,Beyaz
875000,2013,194000,Duz,LPG & Benzin,Beyaz
745000,2013,205000,Otomatik,Dizel,Gri
690000,2011,156400,Duz,LPG & Benzin,Beyaz
1189000,2021,101476,Otomatik,Elektrik,Gri
1449950,2023,42000,Otomatik,LPG & Benzin,Bordo
400000,1995,310000,Duz,LPG & Benzin,Beyaz
565000,2008,168500,Duz,Dizel,Siyah
625000,2014,194000,Duz,Dizel,Beyaz
1290000,2020,63470,Otomatik,Hibrit,Beyaz
1100000,2020,98851,Otomatik,LPG & Benzin,Gri
765000,2018,147500,Yari Otomatik,Dizel,Beyaz
1157750,2021,92000,Otomatik,LPG & Benzin,Gri
415000,1998,227000,Duz,LPG & Benzin,Beyaz
1069500,2021,125000,Otomatik,LPG & Benzin,Gri
699750,2011,157500,Yari Otomatik,Dizel,Beyaz
1110000,2020,100544,Otomatik,LPG & Benzin,Gri
1099000,2020,170000,Otomatik,LPG & Benzin,Gri
805000,2015,216000,Yari Otomatik,Dizel,Siyah
595000,2016,199000,Duz,LPG & Benzin,Beyaz
1145000,2020,31000,Otomatik,Benzin,Füme
1060000,2021,136000,Otomatik,LPG & Benzin,Mavi
880000,2016,189000,Yari Otomatik,Dizel,Beyaz
1075000,2020,97000,Otomatik,Hibrit,Gri
750000,2016,70000,Duz,Benzin,Beyaz
820000,2014,92000,Duz,LPG & Benzin,Kahverengi
820000,2015,105000,Otomatik,Dizel,Beyaz
1515000,2023,6001,Otomatik,Benzin,Beyaz
275000,1992,329000,Duz,LPG & Benzin,Kırmızı
642500,2007,108000,Duz,LPG & Benzin,Gri (Gümüş)
317000,2000,327500,Duz,LPG & Benzin,Beyaz
750000,2014,195000,Duz,LPG & Benzin,Beyaz
1060000,2016,111000,Otomatik,Benzin,Kahverengi
450000,2003,304000,Duz,Benzin,Mavi (metalik)
1165000,2020,80105,Otomatik,LPG & Benzin,Gri
535000,2010,275000,Otomatik,Dizel,Gri
1309000,2022,51000,Otomatik,Hibrit,Mavi
1230000,2021,31383,Otomatik,Benzin,Gri
760000,2016,75000,Duz,LPG & Benzin,Gri (titanyum)
420000,2001,185000,Duz,LPG & Benzin,Gri (metalik)
1280000,2021,118000,Otomatik,LPG & Benzin,Mavi
1329000,2021,59000,Otomatik,LPG & Benzin,Beyaz
1150000,2021,54000,Otomatik,Benzin,Beyaz
1230000,2023,32313,Otomatik,Benzin,Gri
1339000,2019,88500,Otomatik,Benzin,Bordo
1279000,2020,60000,Otomatik,Benzin,Beyaz
188500,1992,257000,Duz,LPG & Benzin,Kırmızı
270000,1997,439000,Duz,LPG & Benzin,Kırmızı
2000000,2023,8900,Otomatik,Hibrit,Bordo
1100000,2016,103000,Otomatik,LPG & Benzin,Beyaz
530000,2008,229000,Duz,Dizel,Gri
318000,1993,320000,Duz,LPG & Benzin,Bordo
945000,2017,99269,Duz,Dizel,Beyaz
485000,2006,245000,Duz,Dizel,Gri (Gümüş)
855000,2015,156000,Otomatik,LPG & Benzin,Beyaz
915000,2018,105796,Duz,LPG & Benzin,Beyaz
700000,2016,98400,Duz,LPG & Benzin,Beyaz
1170000,2019,100000,Otomatik,Hibrit,Beyaz
820000,2017,93000,Duz,LPG & Benzin,Beyaz
625000,2005,120000,Duz,LPG & Benzin,Gri (Gümüş)
1100000,2021,136000,Otomatik,Hibrit,Füme
1100000,2018,30000,Duz,Benzin,Beyaz
965000,2016,82500,Duz,Benzin,Beyaz
610000,2012,215000,Duz,Dizel,Füme
435000,1995,195000,Duz,Benzin,Bordo
485000,2006,252000,Duz,LPG & Benzin,Gri (Gümüş)
220000,1990,333000,Duz,LPG & Benzin,Yeşil
1275000,2020,74000,Otomatik,Hibrit,Mavi (metalik)
924750,2014,110000,Yari Otomatik,Dizel,Beyaz
475000,2007,298000,Otomatik,LPG & Benzin,Gri (Gümüş)
560000,2008,278150,Otomatik,LPG & Benzin,Gri
485000,2004,191000,Duz,LPG & Benzin,Gri
860000,2013,114000,Duz,Dizel,Beyaz
950000,2015,125455,Otomatik,LPG & Benzin,Beyaz
1249900,2021,69000,Otomatik,LPG & Benzin,Mavi
850000,2016,67000,Duz,Benzin,Beyaz
325000,1999,317000,Otomatik,Benzin,Gri (Gümüş)
975000,2017,88000,Otomatik,LPG & Benzin,Beyaz
330000,1999,338000,Duz,LPG & Benzin,Beyaz
227500,1993,401500,Duz,LPG & Benzin,Gri (metalik)
825000,2017,87000,Duz,Benzin,Beyaz
1020000,2019,121000,Otomatik,LPG & Benzin,Beyaz
1345000,2023,9600,Otomatik,Benzin,Mavi (metalik)
1395000,2020,58000,Otomatik,LPG & Benzin,Bej
755000,2015,118000,Duz,Benzin,Beyaz
405000,2000,173000,Duz,LPG & Benzin,Gri (Gümüş)
1058000,2022,159500,Otomatik,Benzin,Füme
400000,1999,166500,Duz,Benzin,Kırmızı
825000,2014,189000,Duz,Dizel,Beyaz
435000,2001,160000,Duz,LPG & Benzin,Bej
373000,2005,342000,Duz,LPG & Benzin,Gri
1349900,2024,6021,Otomatik,Benzin,Gri
1850000,2023,10500,Otomatik,Hibrit,Beyaz
250000,1996,306000,Duz,LPG & Benzin,Beyaz
845000,2015,167000,Yari Otomatik,Dizel,Beyaz
450000,2001,297000,Duz,LPG & Benzin,Mavi
692750,2017,60000,Duz,Dizel,Beyaz
1139000,2017,86000,Otomatik,LPG & Benzin,Gri
975000,2016,88000,Duz,LPG & Benzin,Beyaz
1157850,2020,95000,Otomatik,Benzin,Beyaz
1220000,2020,81000,Otomatik,LPG & Benzin,Gri
1190000,2023,21880,Otomatik,Benzin,Gri
1260000,2023,39095,Otomatik,Benzin,Beyaz
1195000,2024,52000,Otomatik,Benzin,Beyaz
1120000,2021,108000,Otomatik,LPG & Benzin,Beyaz
